Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2008","An","15230631"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2009","An","15267985"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2010","An","15435412"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2011","An","15547260"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2012","An","15857899"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2013","An","16201625"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2014","An","16098680"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2015","An","16364459"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2016","An","16688228"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2017","An","17210269"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2018","An","17838900"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2019","An","18365289"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2020","An","18788002"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2021","An","18928554"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2022","An","19225998"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2023","An","19532854"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","1995","An","19979"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","1996","An","18923"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","1997","An","16884"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","1998","An","14706"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","1999","An","18731"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2000","An","23148"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2001","An","21854"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2002","An","25000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2003","An","30000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2004","An","35000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2005","An","40000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2006","An","45000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2007","An","51863"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2008","An","55000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2009","An","60000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2010","An","65000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2011","An","70000"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2012","An","69430"
